IMG_Index;Label;Repetition;Seed;#Iterations_Att;#Iterations_att_adaptive;#Iterations_Normal;#Iterations_Normal_adaptive;Winner Method;;;;;
23;6;3;987423;NA;251;NA;NA;Heatmaps adaptive;;1;0;0;0
23;6;4;99982;NA;277;NA;NA;Heatmaps adaptive;;1;0;0;0
23;6;5;1123;NA;291;NA;NA;Heatmaps adaptive;;1;0;0;0
24;5;1;4398;NA;NA;NA;NA;;;0;0;1;0
24;5;2;980;NA;NA;NA;NA;;;0;0;1;0
24;5;3;987423;NA;NA;NA;NA;;;0;0;1;0
24;5;4;99982;NA;433;NA;NA;Heatmaps adaptive;;1;0;0;0
24;5;5;1123;NA;NA;NA;NA;;;0;0;1;0
25;4;1;4398;NA;NA;NA;455;Normal Adaptive;;0;1;0;0
25;4;2;980;NA;377;NA;NA;Heatmaps adaptive;;1;0;0;0
25;4;3;987423;NA;NA;NA;311;Normal Adaptive;;0;1;0;0
25;4;4;99982;NA;290;NA;387;Heatmaps adaptive;;0;0;0;1
25;4;5;1123;NA;331;NA;497;Heatmaps adaptive;;0;0;0;1
26;3;1;4398;NA;NA;NA;NA;;;0;0;1;0
26;3;2;980;NA;NA;NA;NA;;;0;0;1;0
26;3;3;987423;NA;411;NA;NA;Heatmaps adaptive;;1;0;0;0
26;3;4;99982;NA;NA;NA;NA;;;0;0;1;0
26;3;5;1123;NA;428;NA;NA;Heatmaps adaptive;;1;0;0;0
27;2;1;4398;NA;NA;NA;NA;;;0;0;1;0
27;2;2;980;NA;NA;NA;NA;;;0;0;1;0
27;2;3;987423;NA;NA;NA;NA;;;0;0;1;0
27;2;4;99982;NA;472;NA;NA;Heatmaps adaptive;;1;0;0;0
27;2;5;1123;NA;465;NA;NA;Heatmaps adaptive;;1;0;0;0
28;1;1;4398;NA;NA;NA;NA;;;0;0;1;0
28;1;2;980;NA;NA;NA;NA;;;0;0;1;0
28;1;3;987423;NA;498;NA;NA;Heatmaps adaptive;;1;0;0;0
28;1;4;99982;NA;NA;NA;NA;;;0;0;1;0
28;1;5;1123;NA;429;NA;NA;Heatmaps adaptive;;1;0;0;0
29;0;1;4398;NA;429;NA;NA;Heatmaps adaptive;;1;0;0;0
29;0;2;980;NA;332;NA;NA;Heatmaps adaptive;;1;0;0;0
29;0;3;987423;NA;261;NA;NA;Heatmaps adaptive;;1;0;0;0
29;0;4;99982;NA;263;NA;NA;Heatmaps adaptive;;1;0;0;0
29;0;5;1123;NA;297;NA;NA;Heatmaps adaptive;;1;0;0;0
30;9;1;4398;NA;246;NA;406;Heatmaps adaptive;;0;0;0;1
30;9;2;980;322;204;NA;336;Heatmaps adaptive;;0;0;0;1
30;9;3;987423;446;229;NA;424;Heatmaps adaptive;;0;0;0;1
30;9;4;99982;284;324;NA;411;Heatmaps;;0;0;0;1
30;9;5;1123;283;NA;NA;386;Heatmaps;;0;1;0;0
31;8;1;4398;NA;346;NA;NA;Heatmaps adaptive;;1;0;0;0
31;8;2;980;NA;341;NA;NA;Heatmaps adaptive;;1;0;0;0
31;8;3;987423;NA;461;NA;NA;Heatmaps adaptive;;1;0;0;0
31;8;4;99982;NA;459;NA;NA;Heatmaps adaptive;;1;0;0;0
31;8;5;1123;NA;NA;NA;NA;;;0;0;1;0
32;7;1;4398;NA;187;NA;NA;Heatmaps adaptive;;1;0;0;0
32;7;2;980;NA;205;NA;NA;Heatmaps adaptive;;1;0;0;0
32;7;3;987423;NA;217;NA;NA;Heatmaps adaptive;;1;0;0;0
32;7;4;99982;NA;212;NA;NA;Heatmaps adaptive;;1;0;0;0
32;7;5;1123;NA;267;NA;501;Heatmaps adaptive;;0;0;0;1
33;6;1;4398;438;260;NA;NA;Heatmaps adaptive;;1;0;0;0
33;6;2;980;NA;436;NA;NA;Heatmaps adaptive;;1;0;0;0
33;6;3;987423;465;NA;NA;NA;Heatmaps;;0;0;1;0
33;6;4;99982;NA;NA;NA;NA;;;0;0;1;0
33;6;5;1123;NA;224;NA;NA;Heatmaps adaptive;;1;0;0;0
34;5;1;4398;NA;NA;NA;NA;;;0;0;1;0
34;5;2;980;NA;450;NA;NA;Heatmaps adaptive;;1;0;0;0
34;5;3;987423;NA;451;NA;NA;Heatmaps adaptive;;1;0;0;0
34;5;4;99982;NA;440;NA;NA;Heatmaps adaptive;;1;0;0;0
34;5;5;1123;NA;NA;NA;NA;;;0;0;1;0
35;4;1;4398;NA;NA;NA;NA;;;0;0;1;0
35;4;2;980;NA;NA;NA;NA;;;0;0;1;0
35;4;3;987423;NA;375;NA;NA;Heatmaps adaptive;;1;0;0;0
35;4;4;99982;NA;359;NA;NA;Heatmaps adaptive;;1;0;0;0
35;4;5;1123;NA;348;NA;NA;Heatmaps adaptive;;1;0;0;0
36;3;1;4398;NA;NA;NA;NA;;;0;0;1;0
36;3;2;980;NA;NA;NA;NA;;;0;0;1;0
36;3;3;987423;NA;NA;NA;NA;;;0;0;1;0
36;3;4;99982;NA;NA;NA;NA;;;0;0;1;0
36;3;5;1123;NA;NA;NA;NA;;;0;0;1;0
37;2;1;4398;NA;417;NA;NA;Heatmaps adaptive;;1;0;0;0
37;2;2;980;NA;365;NA;NA;Heatmaps adaptive;;1;0;0;0
37;2;3;987423;NA;451;NA;NA;Heatmaps adaptive;;1;0;0;0
37;2;4;99982;NA;416;NA;NA;Heatmaps adaptive;;1;0;0;0
37;2;5;1123;NA;420;NA;NA;Heatmaps adaptive;;1;0;0;0
38;1;1;4398;NA;NA;NA;NA;;;0;0;1;0
38;1;2;980;NA;NA;NA;NA;;;0;0;1;0
38;1;3;987423;NA;NA;NA;NA;;;0;0;1;0
38;1;4;99982;NA;NA;NA;NA;;;0;0;1;0
38;1;5;1123;NA;NA;NA;NA;;;0;0;1;0
39;0;1;4398;NA;NA;NA;NA;;;0;0;1;0
39;0;2;980;NA;487;NA;NA;Heatmaps adaptive;;1;0;0;0
39;0;3;987423;NA;383;NA;NA;Heatmaps adaptive;;1;0;0;0
39;0;4;99982;NA;421;NA;NA;Heatmaps adaptive;;1;0;0;0
39;0;5;1123;NA;NA;NA;NA;;;0;0;1;0
40;9;1;4398;NA;NA;NA;NA;;;0;0;1;0
40;9;2;980;NA;NA;NA;NA;;;0;0;1;0
40;9;3;987423;NA;500;NA;NA;Heatmaps adaptive;;1;0;0;0
40;9;4;99982;NA;NA;NA;NA;;;0;0;1;0
40;9;5;1123;NA;NA;NA;NA;;;0;0;1;0
41;8;1;4398;NA;328;NA;466;Heatmaps adaptive;;0;0;0;1
41;8;2;980;NA;303;NA;NA;Heatmaps adaptive;;1;0;0;0
41;8;3;987423;NA;421;NA;NA;Heatmaps adaptive;;1;0;0;0
41;8;4;99982;NA;284;NA;397;Heatmaps adaptive;;0;0;0;1
41;8;5;1123;NA;310;NA;NA;Heatmaps adaptive;;1;0;0;0
42;7;1;4398;NA;348;NA;NA;Heatmaps adaptive;;1;0;0;0
42;7;2;980;NA;286;NA;NA;Heatmaps adaptive;;1;0;0;0
42;7;3;987423;NA;NA;NA;NA;;;0;0;1;0
42;7;4;99982;NA;462;NA;NA;Heatmaps adaptive;;1;0;0;0
42;7;5;1123;NA;403;NA;NA;Heatmaps adaptive;;1;0;0;0
43;6;1;4398;NA;305;NA;NA;Heatmaps adaptive;;1;0;0;0
43;6;2;980;NA;363;NA;NA;Heatmaps adaptive;;1;0;0;0
43;6;3;987423;NA;259;NA;NA;Heatmaps adaptive;;1;0;0;0
43;6;4;99982;NA;342;NA;NA;Heatmaps adaptive;;1;0;0;0
43;6;5;1123;NA;312;NA;NA;Heatmaps adaptive;;1;0;0;0
44;5;1;4398;NA;NA;NA;464;Normal Adaptive;;0;1;0;0
44;5;2;980;NA;NA;NA;456;Normal Adaptive;;0;1;0;0
44;5;3;987423;NA;499;NA;485;Normal Adaptive;;0;0;0;1
44;5;4;99982;NA;NA;NA;436;Normal Adaptive;;0;1;0;0
44;5;5;1123;NA;NA;NA;437;Normal Adaptive;;0;1;0;0
45;4;1;4398;NA;NA;NA;NA;;;0;0;1;0
45;4;2;980;NA;NA;NA;NA;;;0;0;1;0
45;4;3;987423;NA;NA;NA;NA;;;0;0;1;0
45;4;4;99982;NA;NA;NA;NA;;;0;0;1;0
45;4;5;1123;NA;NA;NA;453;Normal Adaptive;;0;1;0;0
46;3;1;4398;434;326;NA;NA;Heatmaps adaptive;;1;0;0;0
46;3;2;980;447;323;NA;NA;Heatmaps adaptive;;1;0;0;0
46;3;3;987423;NA;321;NA;NA;Heatmaps adaptive;;1;0;0;0
46;3;4;99982;416;373;NA;NA;Heatmaps adaptive;;1;0;0;0
46;3;5;1123;495;337;NA;NA;Heatmaps adaptive;;1;0;0;0
47;2;1;4398;NA;NA;NA;NA;;;0;0;1;0
47;2;2;980;NA;NA;NA;NA;;;0;0;1;0
47;2;3;987423;NA;NA;NA;NA;;;0;0;1;0
47;2;4;99982;NA;NA;NA;NA;;;0;0;1;0
47;2;5;1123;NA;NA;NA;NA;;;0;0;1;0
48;1;1;4398;NA;NA;NA;NA;;;0;0;1;0
48;1;2;980;NA;NA;NA;NA;;;0;0;1;0
48;1;3;987423;NA;NA;NA;NA;;;0;0;1;0
48;1;4;99982;NA;NA;NA;NA;;;0;0;1;0
48;1;5;1123;NA;NA;NA;NA;;;0;0;1;0
49;0;1;4398;NA;NA;NA;NA;;;0;0;1;0
49;0;2;980;NA;384;NA;NA;Heatmaps adaptive;;1;0;0;0
49;0;3;987423;NA;NA;NA;NA;;;0;0;1;0
49;0;4;99982;NA;NA;NA;NA;;;0;0;1;0
49;0;5;1123;NA;NA;NA;NA;;;0;0;1;0
50;9;1;4398;432;387;NA;297;Normal Adaptive;;0;0;0;1
50;9;2;980;392;188;NA;426;Heatmaps adaptive;;0;0;0;1
50;9;3;987423;416;233;NA;349;Heatmaps adaptive;;0;0;0;1
50;9;4;99982;357;264;NA;337;Heatmaps adaptive;;0;0;0;1
50;9;5;1123;340;141;NA;308;Heatmaps adaptive;;0;0;0;1
51;8;1;4398;NA;NA;NA;NA;;;0;0;1;0
51;8;2;980;NA;NA;NA;NA;;;0;0;1;0
51;8;3;987423;NA;NA;NA;NA;;;0;0;1;0
51;8;4;99982;NA;NA;NA;NA;;;0;0;1;0
51;8;5;1123;NA;NA;NA;NA;;;0;0;1;0
52;7;1;4398;NA;NA;NA;NA;;;0;0;1;0
52;7;2;980;NA;477;NA;NA;Heatmaps adaptive;;1;0;0;0
52;7;3;987423;NA;NA;NA;NA;;;0;0;1;0
52;7;4;99982;NA;NA;NA;NA;;;0;0;1;0
52;7;5;1123;NA;NA;NA;NA;;;0;0;1;0
53;6;1;4398;NA;380;NA;NA;Heatmaps adaptive;;1;0;0;0
53;6;2;980;NA;NA;NA;NA;;;0;0;1;0
53;6;3;987423;NA;NA;NA;NA;;;0;0;1;0
53;6;4;99982;NA;408;NA;NA;Heatmaps adaptive;;1;0;0;0
53;6;5;1123;NA;295;NA;NA;Heatmaps adaptive;;1;0;0;0
54;5;1;4398;NA;475;NA;NA;Heatmaps adaptive;;1;0;0;0
54;5;2;980;NA;361;NA;NA;Heatmaps adaptive;;1;0;0;0
54;5;3;987423;NA;486;NA;NA;Heatmaps adaptive;;1;0;0;0
54;5;4;99982;NA;424;NA;NA;Heatmaps adaptive;;1;0;0;0
54;5;5;1123;NA;NA;NA;NA;;;0;0;1;0
55;4;1;4398;NA;320;NA;NA;Heatmaps adaptive;;1;0;0;0
55;4;2;980;NA;NA;NA;NA;;;0;0;1;0
55;4;3;987423;NA;430;NA;NA;Heatmaps adaptive;;1;0;0;0
55;4;4;99982;NA;448;NA;NA;Heatmaps adaptive;;1;0;0;0
55;4;5;1123;NA;342;NA;NA;Heatmaps adaptive;;1;0;0;0
56;3;1;4398;NA;NA;NA;NA;;;0;0;1;0
56;3;2;980;NA;NA;NA;NA;;;0;0;1;0
56;3;3;987423;NA;NA;NA;NA;;;0;0;1;0
56;3;4;99982;NA;NA;NA;NA;;;0;0;1;0
